frame_n,nano_sec,sec,size,compression rate,n_change,
345,42412000,0,267536488,0.576099,200,0.0042412
346,32194500,0,270488174,0.580776,200,0.00321945
347,35357400,0,273464948,0.585481,200,0.00353574
348,40435200,0,276467237,0.590212,200,0.00404352
349,38680900,0,280281131,0.596645,200,0.00386809
350,38043100,0,284774961,0.604484,200,0.00380431
351,36519200,0,288670832,0.611013,200,0.00365192
352,44033500,0,292722294,0.617833,200,0.00440335
353,40338000,0,296831100,0.624736,200,0.0040338
354,40895500,0,300961211,0.631644,200,0.00408955
355,44153000,0,305152449,0.638641,200,0.0044153
356,46635200,0,309335751,0.645583,200,0.00466352
357,50681500,0,313540415,0.65253,200,0.00506815
358,50435200,0,317806405,0.659566,200,0.00504352
359,48694100,0,322092619,0.666605,200,0.00486941
360,50653600,0,253451399,0.523091,200,0.00506536
361,38932700,0,256775821,0.528489,200,0.00389327
362,39948200,0,260125331,0.533908,200,0.00399482
363,40620600,0,263499474,0.539347,200,0.00406206
364,54405800,0,266898648,0.544808,200,0.00544058
365,63688800,0,270323166,0.550291,200,0.00636888
366,55050600,0,273772630,0.555794,200,0.00550506
367,44740800,0,277247068,0.561318,200,0.00447408
368,42394700,0,280746082,0.566862,200,0.00423947
369,39529400,0,284269985,0.572426,200,0.00395294
370,39190900,0,287818919,0.57801,200,0.00391909
371,46862000,0,291393197,0.583615,200,0.0046862
372,46716500,0,294993132,0.589241,200,0.00467165
373,44899700,0,298618098,0.594887,200,0.00448997
374,41249300,0,302267128,0.600551,200,0.00412493
375,58689300,0,305940649,0.606233,200,0.00586893
376,47294000,0,310617519,0.613868,200,0.0047294
377,48490300,0,315187893,0.621252,200,0.00484903
378,48030400,0,319946996,0.628969,200,0.00480304
379,60340600,0,325249786,0.637711,200,0.00603406
380,72389300,0,330253824,0.645822,200,0.00723893
381,84497000,0,335409471,0.654187,200,0.0084497
382,44469400,0,340298821,0.661991,200,0.00444694
383,64560200,0,345179979,0.669737,200,0.00645602
384,66990300,0,350475459,0.678246,200,0.00669903
385,57816700,0,355599305,0.686379,200,0.00578167
386,60457500,0,360748495,0.694518,200,0.00604575
387,45432000,0,365758734,0.702349,200,0.0045432
388,46730800,0,280218746,0.536708,200,0.00467308
389,46120400,0,284238720,0.543011,200,0.00461204
390,49222600,0,288284095,0.549331,200,0.00492226
391,51370500,0,292354501,0.555666,200,0.00513705
392,39269400,0,296449739,0.562016,200,0.00392694
393,50877600,0,300568899,0.568379,200,0.00508776
394,46047300,0,304712009,0.574755,200,0.00460473
395,50795500,0,308879951,0.581145,200,0.00507955
396,55669900,0,313073038,0.587551,200,0.00556699
397,47888500,0,317291412,0.593971,200,0.00478885
398,45040400,0,321535130,0.600407,200,0.00450404
399,45133200,0,325803993,0.606857,200,0.00451332
400,58348300,0,330097887,0.613322,200,0.00583483
401,54015300,0,334417125,0.619801,200,0.00540153
402,65382300,0,338760854,0.626294,200,0.00653823
403,94058800,0,344657052,0.635618,200,0.00940588
404,42035200,0,350122914,0.644103,200,0.00420352
405,53055500,0,355744993,0.652834,200,0.00530555
406,78513100,0,361584359,0.66192,200,0.00785131
407,67998400,0,367288557,0.670714,200,0.00679984
408,78722600,0,372821292,0.679153,200,0.00787226
409,63008700,0,378574386,0.687951,200,0.00630087
410,65702900,0,384154680,0.696393,200,0.00657029
411,54248400,0,389952432,0.705187,200,0.00542484
412,49757600,0,395581878,0.713636,200,0.00497576
413,62204300,0,401268156,0.722145,200,0.00622043
414,63390800,0,406946299,0.730599,200,0.00633908
415,82269100,0,413202689,0.740048,200,0.00822691
416,72890100,0,419123463,0.748852,200,0.00728901
417,72109900,0,425002376,0.757539,200,0.00721099
418,51281800,0,321202695,0.571157,200,0.00512818
419,45773600,0,325963277,0.578242,200,0.00457736
420,55583200,0,330749061,0.585338,200,0.00555832
421,45031000,0,335559051,0.592443,200,0.0045031
422,58285200,0,340393617,0.599558,200,0.00582852
423,65829100,0,345253840,0.606684,200,0.00658291
424,67187300,0,350138070,0.613819,200,0.00671873
425,59487500,0,355046364,0.620963,200,0.00594875
426,72520500,0,359979291,0.628116,200,0.00725205
427,63270300,0,364937761,0.63528,200,0.00632703
428,57560800,0,369921575,0.642455,200,0.00575608
429,65220900,0,374929624,0.649638,200,0.00652209
430,54129700,0,380997854,0.658621,200,0.00541297
431,55360800,0,387291620,0.667951,200,0.00553608
432,71609200,0,393802787,0.677612,200,0.00716092
433,72744800,0,400334377,0.687263,200,0.00727448
434,82836200,0,406538031,0.696309,200,0.00828362
435,73811100,0,413089134,0.705907,200,0.00738111
436,100140900,0,419697780,0.715559,200,0.01001409
437,63326000,0,426167418,0.72493,200,0.0063326
438,55194300,0,432629746,0.734247,200,0.00551943
439,61827700,0,438952952,0.743285,200,0.00618277
440,73883600,0,445305598,0.752332,200,0.00738836
441,71536800,0,452035133,0.761974,200,0.00715368
442,59580800,0,458793027,0.77162,200,0.00595808
443,77708000,0,465603657,0.78131,200,0.0077708
444,90813100,0,472214152,0.790622,200,0.00908131
445,124134500,0,479238286,0.800584,200,0.01241345
446,85771000,0,358780088,0.598013,200,0.0085771
447,66719000,0,364230192,0.605743,200,0.0066719
448,58957300,0,369705014,0.613478,200,0.00589573
449,61244500,0,375203644,0.621219,200,0.00612445
450,52387800,0,380727163,0.628966,200,0.00523878
451,59911200,0,386275713,0.636721,200,0.00599112
452,55530300,0,391848071,0.64448,200,0.00555303
453,61021200,0,397445062,0.652246,200,0.00610212
454,62081100,0,403066316,0.660017,200,0.00620811
455,59458200,0,408711890,0.667794,200,0.00594582
456,73161200,0,414382471,0.675578,200,0.00731612
457,49390800,0,421147021,0.685107,200,0.00493908
458,55009100,0,427936659,0.694635,200,0.00550091
459,54975300,0,434947026,0.70448,200,0.00549753
460,59148900,0,441977304,0.714314,200,0.00591489
461,77519600,0,449195742,0.724409,200,0.00775196
462,69481500,0,456278301,0.734242,200,0.00694815
463,53052400,0,463188259,0.743755,200,0.00530524
464,49507200,0,470155049,0.753318,200,0.00495072
465,53666000,0,477113761,0.762827,200,0.0053666
466,47558300,0,484293031,0.772648,200,0.00475583
467,50094400,0,491333037,0.782204,200,0.00500944
468,53794200,0,498365164,0.791708,200,0.00537942
469,58858300,0,505454322,0.801261,200,0.00588583
470,63775500,0,512727032,0.811065,200,0.00637755
