frame_n,nano_sec,sec,size,compression rate,
236,25603500,0,29696160,0.093356,0.00256035
237,27706000,0,30205094,0.0945569,0.0027706
238,28577000,0,30714028,0.0957478,0.0028577
239,29762800,0,31236274,0.0969702,0.00297628
240,29907100,0,31758520,0.0981823,0.00299071
241,27917000,0,32280766,0.0993845,0.0027917
242,28407500,0,32803012,0.100577,0.00284075
243,31051000,0,33325258,0.101759,0.0031051
244,32124300,0,33847504,0.102932,0.00321243
245,41527000,0,34369750,0.104095,0.0041527
246,32483300,0,34891996,0.105249,0.00324833
247,36244900,0,35414242,0.106394,0.00362449
248,42800900,0,35936488,0.107529,0.00428009
249,34512900,0,36458734,0.108656,0.00345129
250,35645200,0,36458734,0.108223,0.00356452
251,32358000,0,36458734,0.107793,0.0032358
252,33974400,0,36458734,0.107367,0.00339744
253,31057500,0,36458734,0.106944,0.00310575
254,29990500,0,36458734,0.106525,0.00299905
255,26531300,0,36458734,0.106109,0.00265313
256,29236300,0,36458734,0.105696,0.00292363
257,30252500,0,36458734,0.105286,0.00302525
258,34119200,0,36458734,0.10488,0.00341192
259,40404400,0,30277035,0.0867621,0.00404044
260,27565900,0,30813617,0.0879614,0.00275659
261,26368900,0,31350199,0.0891516,0.00263689
262,27427100,0,31906237,0.0903878,0.00274271
263,34886400,0,32462275,0.0916147,0.00348864
264,32213300,0,33018313,0.0928323,0.00322133
265,35252100,0,33574351,0.0940408,0.00352521
266,27717200,0,34130446,0.0952403,0.00277172
267,31273900,0,34686484,0.0964308,0.00312739
268,28920000,0,35242522,0.0976124,0.002892
269,26450700,0,35798560,0.0987852,0.00264507
270,27243100,0,36354598,0.0999494,0.00272431
271,26137400,0,36910636,0.101105,0.00261374
272,30490900,0,37466674,0.102252,0.00304909
273,36910200,0,38022712,0.103391,0.00369102
274,37759800,0,38578750,0.104521,0.00377598
275,25983100,0,39134788,0.105644,0.00259831
276,33960500,0,39704138,0.106794,0.00339605
277,31045300,0,40273488,0.107936,0.00310453
278,30354200,0,40842838,0.109069,0.00303542
279,28987500,0,41412188,0.110195,0.00289875
280,35844700,0,41981538,0.111312,0.00358447
281,43800500,0,42565224,0.112459,0.00438005
282,46307700,0,43148910,0.113599,0.00463077
283,42447800,0,43732596,0.11473,0.00424478
284,33703800,0,43732596,0.114327,0.00337038
285,26846600,0,43732596,0.113928,0.00268466
286,30699600,0,43732596,0.113531,0.00306996
287,29877000,0,43732596,0.113137,0.0029877
288,31744100,0,43732596,0.112745,0.00317441
289,34257500,0,43732596,0.112356,0.00342575
290,29432700,0,43732596,0.11197,0.00294327
291,32051500,0,43732596,0.111587,0.00320515
292,31909300,0,43732596,0.111206,0.00319093
293,27974500,0,43732596,0.110828,0.00279745
294,26139600,0,43732596,0.110452,0.00261396
295,29143800,0,43732596,0.110079,0.00291438
296,29970100,0,43732596,0.109708,0.00299701
297,30622600,0,43732596,0.10934,0.00306226
298,28602000,0,43732596,0.108974,0.0028602
299,26770700,0,43732596,0.108611,0.00267707
300,27985100,0,36967259,0.0915042,0.00279851
301,25860100,0,37550945,0.0926412,0.00258601
302,23711100,0,38153063,0.093816,0.00237111
303,26084500,0,38755181,0.0949831,0.00260845
304,42572200,0,39379827,0.0961976,0.00425722
305,28616200,0,40018809,0.097439,0.00286162
306,31891800,0,40657791,0.0986724,0.00318918
307,25088500,0,41296830,0.0998978,0.00250885
308,27460200,0,41935812,0.101115,0.00274602
309,29945400,0,42574794,0.102325,0.00299454
310,25591800,0,43213776,0.103527,0.00255918
311,24995900,0,43852758,0.104721,0.00249959
312,25073000,0,44491740,0.105907,0.0025073
313,25476100,0,45130722,0.107086,0.00254761
314,27096400,0,45769704,0.108257,0.00270964
315,28039700,0,46423022,0.109455,0.00280397
316,28551000,0,47076340,0.110645,0.0028551
317,37026500,0,47729658,0.111828,0.00370265
318,29613800,0,48382976,0.113004,0.00296138
319,31716700,0,49036294,0.114172,0.00317167
320,30976900,0,49689612,0.115332,0.00309769
321,34658400,0,50342930,0.116486,0.00346584
322,44118600,0,50996248,0.117632,0.00441186
323,34658900,0,51649566,0.118771,0.00346589
324,42243900,0,52302884,0.119904,0.00422439
325,29099500,0,52956259,0.121029,0.00290995
326,32254300,0,53609577,0.122148,0.00322543
327,27448500,0,54262895,0.123259,0.00274485
328,31020500,0,54916213,0.124364,0.00310205
329,26040300,0,55569531,0.125462,0.00260403
330,33603400,0,56222849,0.126554,0.00336034
331,28282900,0,56876167,0.127639,0.00282829
332,26662400,0,57529485,0.128717,0.00266624
333,28339800,0,58182803,0.129789,0.00283398
334,27954700,0,58836121,0.130855,0.00279547
335,24771000,0,59506847,0.131953,0.0024771
336,25915600,0,60177573,0.133044,0.00259156
337,28010100,0,60848299,0.134129,0.00280101
338,28802400,0,61519025,0.135207,0.00288024
339,27194300,0,62189751,0.136279,0.00271943
340,29083500,0,62860477,0.137345,0.00290835
341,29941400,0,63549635,0.138445,0.00299414
342,30285200,0,63549635,0.138041,0.00302852
343,25420600,0,63549635,0.13764,0.00254206
344,25244800,0,63549635,0.137241,0.00252448
345,34549800,0,63549635,0.136844,0.00345498
346,32274200,0,63549635,0.13645,0.00322742
347,25810100,0,63549635,0.136058,0.00258101
348,24995000,0,63549635,0.135668,0.0024995
349,26554200,0,63549635,0.13528,0.00265542
350,26303800,0,63549635,0.134895,0.00263038
351,28797900,0,63549635,0.134512,0.00287979
352,28234700,0,63549635,0.134131,0.00282347
353,29850400,0,63549635,0.133752,0.00298504
354,27133500,0,63549635,0.133375,0.00271335
